Provincia,Localidad,Municipio,Departamento,Latitud,Longitud
Buenos Aires,AEROPUERTO INTERNACIONAL EZEIZA,Ezeiza,José M. Ezeiza,-34.8128216283518,-58.5521650062885
Buenos Aires,CANNING,Ezeiza,José M. Ezeiza,-34.8962283957338,-58.5087006002723
Buenos Aires,CARLOS SPEGAZZINI,Ezeiza,José M. Ezeiza,-34.9338489869515,-58.5780017334776
Buenos Aires,JOSE MARIA EZEIZA,Ezeiza,José M. Ezeiza,-34.8536100103068,-58.5195521653909
Buenos Aires,LA UNION,Ezeiza,José M. Ezeiza,-34.8503859677023,-58.5558695462288
Buenos Aires,TRISTAN SUAREZ,Ezeiza,José M. Ezeiza,-34.8851527149847,-58.5700335845498
Buenos Aires,BOSQUES,Florencio Varela,Florencio Varela,-34.827580702831,-58.2229120039487
Buenos Aires,ESTANISLAO SEVERO ZEBALLOS,Florencio Varela,Florencio Varela,-34.812285887223,-58.2426532633495
Buenos Aires,FLORENCIO VARELA,Florencio Varela,Florencio Varela,-34.7960544308506,-58.2748588953342
Buenos Aires,GOBERNADOR JULIO A. COSTA,Florencio Varela,Florencio Varela,-34.8152397261388,-58.3082334245906
Buenos Aires,INGENIERO JUAN ALLAN,Florencio Varela,Florencio Varela,-34.8648075260046,-58.2110437322304
Buenos Aires,VILLA BROWN,Florencio Varela,Florencio Varela,-34.8790424725562,-58.2898092496787
Buenos Aires,VILLA SAN LUIS,Florencio Varela,Florencio Varela,-34.8627929258513,-58.2553232274346
Buenos Aires,VILLA SANTA ROSA,Florencio Varela,Florencio Varela,-34.8380276482598,-58.2888899071764
Buenos Aires,VILLA VATTEONE,Florencio Varela,Florencio Varela,-34.8303193176345,-58.2635239901185
Buenos Aires,EL TROPEZON,Florencio Varela,Florencio Varela,-34.9564048574127,-58.2787454299742
Buenos Aires,LA CAPILLA,Florencio Varela,Florencio Varela,-34.9437330109546,-58.2632550914348
Buenos Aires,BLAQUIER,Florentino Ameghino,Florentino Ameghino,-34.6356616332748,-62.4786821321875
Buenos Aires,FLORENTINO AMEGHINO,Florentino Ameghino,Florentino Ameghino,-34.846677699169,-62.4671575805384
Buenos Aires,PORVENIR,Florentino Ameghino,Florentino Ameghino,-34.9522292183733,-62.2174229886622
Buenos Aires,CENTINELA DEL MAR,General Alvarado,General Alvarado,-38.4348806367321,-58.216863731472
Buenos Aires,COMANDANTE NICANOR OTAMENDI,General Alvarado,General Alvarado,-38.1119335118514,-57.8415353121543
Buenos Aires,MAR DEL SUR,General Alvarado,General Alvarado,-38.3446881533109,-57.9920393065731
Buenos Aires,MECHONGUE,General Alvarado,General Alvarado,-38.1486545138318,-58.2230121065801
Buenos Aires,MIRAMAR,General Alvarado,General Alvarado,-38.2707429318083,-57.8404714577536
Buenos Aires,GENERAL ALVEAR,General Alvear,General Alvear,-36.0229384341367,-60.0147935726886
Buenos Aires,ARRIBE¥OS,General Arenales,General Arenales,-34.2101542565966,-61.3548577979495
Buenos Aires,ASCENSION,General Arenales,General Arenales,-34.2368758979793,-61.103613881133
Buenos Aires,ESTACION ARENALES,General Arenales,General Arenales,-34.2698455922697,-61.2926718130401
Buenos Aires,FERRE,General Arenales,General Arenales,-34.1250383813873,-61.132654886464
Buenos Aires,GENERAL ARENALES,General Arenales,General Arenales,-34.3044679711077,-61.3056277788216
Buenos Aires,LA ANGELITA,General Arenales,General Arenales,-34.2608740726731,-60.9685988224111
